clip_index,trick_index,trick,switch?,inline?,obstacle,slowmo,obstacle 2,location,hasbank,video,
50,48,switch fs flip,1,,stair,1,wilshire,,,baker3,
1,1,switch crook,1,1,ledge ,,,,,baker 2g,
1,2,switch fs flip,1,1,flat,,,,,baker 2g,
1,3,bs 360,,1,gap,,,,,baker 2g,
2,3,bs 360,,1,gap,,,,,baker 2g,
3,4,switchflip boardslide,1,,rail,,handrail,,,baker 2g,
4,4,switchflip boardslide,1,,rail,1,handrail,,,baker 2g,
5,5,bluntslide,,,hubba,,,,,baker 2g,
6,5,bluntslide,,,hubba,1,,,,baker 2g,
7,6,bs lipslide,,,stair,1,gap to rail,,,baker 2g,
8,6,bs lipslide,,,stair,1,gap to rail,,,baker 2g,
9,7,switch fs flip,1,,stair,,over rail,wilshire,,baker 2g,
10,7,switch fs flip,1,,stair,,over rail,wilshire,,baker 2g,
11,8,switch crook,1,,rail,,handrail,wilshire,,baker 2g,
12,8,switch crook,1,,rail,1,handrail,wilshire,,baker 2g,
13,9,nollie bs flip,1,,stair,1,,wilshire,,baker 2g,
14,9,nollie bs flip,1,,stair,1,,wilshire,,baker 2g,
15,10,switch ollie,1,,stair,1,15,wilshire 15,,baker 2g,
16,11,bs 5-0,,,rail,1,handrail,wilshire 15,,baker 2g,
17,11,bs 5-0,,,rail,1,handrail,wilshire 15,,baker 2g,
18,12,bs lip,,,rail,1,handrail,wilshire 15,,baker 2g,
19,12,bs lip,,,rail,,handrail,wilshire 15,,baker 2g,
20,13,bs noseblunt,,,rail,,handrail,wilshire,,baker 2g,
21,13,bs noseblunt,,,rail,1,handrail,wilshire,,baker 2g,
22,14,switch fs flip,1,,stair,1,,,,baker 2g,
23,12,bs lip,,,rail,1,handrail,wilshire 15,,baker 2g,
24,13,bs noseblunt,,,rail,1,handrail,wilshire,,baker 2g,
1,1,bs 5050,,,rail,,handrail,gap to rail,,misled youth,
2,2,switch flip,1,,stair,,,,,misled youth,
3,3,bs 5-0,,,rail,,handrail,,,misled youth,
4,4,fs board,,,ledge ,,shootout,,,misled youth,
5,4,fs board,,,ledge ,,shootout,,,misled youth,
6,5,nollie 180,1,1,stair,,,,,misled youth,
6,6,switch fs flip,1,1,stair,,,,,misled youth,
7,6,switch fs flip,1,1,stair,,,,,misled youth,
8,7,bs tail shuv,,,ledge ,,bank to ledge,,1,misled youth,
9,7,bs tail shuv,,,ledge ,,bank to ledge,,1,misled youth,
10,8,bs lip,,,rail,,handrail,,,misled youth,
11,9,fakie fs flip,,1,flat,,,,,misled youth,
11,10,bs 180,,1,stair,,,,,misled youth,
12,11,bs 5050,,,rail,,handrail,,,misled youth,
13,12,bs 5-0,,,rail,,handrail,gap to rail,,misled youth,
14,12,bs 5-0,,,rail,,handrail,gap to rail,,misled youth,
15,13,slam,,,,,,,,misled youth,
16,14,bs lip shuv,,,rail,,handrail,,,misled youth,
17,15,360 flip,,,gap,,,,,misled youth,
18,16,fs lipslide,,,rail,,handrail,,,misled youth,
19,17,bs lip,,,rail,,handrail,,,misled youth,
20,18,switch flip,1,,gap,,,,,misled youth,
21,19,ollie,,,gap,,,,,misled youth,
22,20,bs smith,,,rail,,handrail,,,misled youth,
23,20,bs smith,,,rail,,handrail,,,misled youth,
24,21,bs 360,,,stair,1,,,,misled youth,
25,21,bs 360,,,stair,1,,,,misled youth,
1,1,switch fs flip,1,1,flat,,flat gap,,,baker bootleg,
1,2,hardflip,,1,flat,,,,,baker bootleg,
1,3,switch fs noseslide,1,1,ledge,,,,,baker bootleg,
2,4,switch 360 flip,1,,gap,,,,,baker bootleg,
3,5,rock and roll,,,tranny,,jersey barrier,,,baker bootleg,
4,6,bs ollie,,,tranny,,bank to bank,,1,baker bootleg,
5,7,bs tail,,,tranny,,bank to bank,,1,baker bootleg,
6,8,smith stall,,,stall,,bank to ledge,,1,baker bootleg,
7,9,tailstall fakie,,,stall,,bank to ledge,,1,baker bootleg,
8,10,fs blunt,,,stall,,bank to ledge,,1,baker bootleg,
9,11,heelflip,,,gap,,curb cut ,,1,baker bootleg,
10,12,switch flip,1,1,gap,,curb cut ,,1,baker bootleg,
10,13,switch 180,1,1,flat,,,,,baker bootleg,
11,14,ollie,,,gap,,,,,baker bootleg,
12,15,nollie flip  ,1,,stair,,,,,baker bootleg,
13,16,lipslide,,,ledge,,bank to ledge,,1,baker bootleg,
14,17,fs smith,,,ledge,,bank to ledge,,1,baker bootleg,
15,18,fs 5050,,,ledge,1,bank to ledge,,1,baker bootleg,
16,19,fs 5050 180,,,rail,,handrail,,,baker bootleg,
17,20,kickflip fakie,,,tranny,,quarterpipe,,,baker bootleg,
18,21,nollie heelflip nosestall,1,,tranny,,quarterpipe,,,baker bootleg,
19,22,switch flip bs tail,1,,tranny,,quarterpipe,,,baker bootleg,
20,23,nollie flip bs tail,1,,tranny,,quarterpipe,,,baker bootleg,
21,24,switch tre nosestall,1,,tranny,,quarterpipe,,,baker bootleg,
22,25,ollie,,,bank,,,,,baker bootleg,
23,26,bs boardslide,,,rail,,handrail,,,baker bootleg,
24,27,bs boardslide fakie,,,rail,,handrail,,,baker bootleg,
25,28,fs 5050,,,rail,,handrail,,,baker bootleg,
26,28,fs 5050,,,rail,,handrail,,,baker bootleg,
27,29,bs 5050,,,rail,1,handrail,,,baker bootleg,
28,30,ollie,,,flat,,flat gap,,,baker bootleg,
29,31,kickflip,,,bank,,,,1,baker bootleg,
30,32,hardflip,,,stair,,,,,baker bootleg,
31,33,fs 5-0,,,bank to ledge,,,,1,baker bootleg,
32,34,fs 5050,,,ledge,,kicker,,1,baker bootleg,
33,35,nollie bs flip,1,,gap,,,,,baker bootleg,
34,36,ollie,,,kicker,,car,,1,baker bootleg,
35,37,fs flip,,,bank,,,,1,baker bootleg,
36,37,fs flip,,,bank,,,,1,baker bootleg,
37,38,fs 360 kickflip,,,bank,,,,1,baker bootleg,
38,39,boardslide,,,rail,,handrail,,,baker bootleg,
39,40,bs lip,,,rail,1,handrail,,,baker bootleg,
40,41,switch fs flip,1,,gap,,,,,baker bootleg,
41,41,switch fs flip,1,,gap,,,,,baker bootleg,
1,1,switch flip,1,,gap,,,,,hook ups asian goddess,
2,2,bs tail,,,bank to ledge,,,,1,hook ups asian goddess,
3,3,heelflip,,1,flat,,,,,hook ups asian goddess,
3,4,ollie,,1,bank,,bank over picnic table,,1,hook ups asian goddess,
3,5,nollie flip,1,1,flat,,,,,hook ups asian goddess,
4,6,kickflip fakie,,,bank,,,,1,hook ups asian goddess,
5,7,switch tre,1,1,gap,,,,,hook ups asian goddess,
5,8,switch 180,1,1,flat,,,,,hook ups asian goddess,
6,9,switch fs hardflip 180,1,,bank,,,,1,hook ups asian goddess,
7,10,fakie tre,,1,flat,,over cone,,,hook ups asian goddess,
7,11,fakie flip,,1,flat,,,,,hook ups asian goddess,
8,12,switch hardflip,1,,bank,,,,1,hook ups asian goddess,
9,13,kickflip bs tail,,,bank to ledge,,,,1,hook ups asian goddess,
1,1,bs wallride,,,car,,,,,baker has a deathwish,
2,2,nollie inward heel,1,,bank to bank,,,,1,baker has a deathwish,
3,3,ollie,,,gap,,,,,baker has a deathwish,
4,4,body jar,,,tranny,,pool,,,baker has a deathwish,
5,5,taildrop fs board,,,hubba,,tail drop,,,baker has a deathwish,
6,6,kickflip,,,gap,,gap into bank,,1,baker has a deathwish,
7,7,ollie,,,stair,,over stairs,,,baker has a deathwish,
8,8,nollie bs flip manual,1,,manual,,,,,baker has a deathwish,
9,9,nollie bs flip manual 180,1,,manual,,,,,baker has a deathwish,
10,10,switch fs 360 kickflip,1,,tranny,,quarterpipe,,,baker has a deathwish,
11,11,bs 360,,,gap,,roof,,1,baker has a deathwish,
12,11,bs 360,,,gap,,roof,,,baker has a deathwish,
13,12,switch flip,1,,gap,,roof,,1,baker has a deathwish,
14,13,fs flip,,,gap,,roof,,1,baker has a deathwish,
15,14,switch fs flip,1,,gap,,roof,,1,baker has a deathwish,
16,15,switch bs 180,1,,gap,,,,,baker has a deathwish,
17,16,kickflip,,,gap,,,,,baker has a deathwish,
18,17,fs nosegrind,,,ledge,,shootout,,,baker has a deathwish,
19,18,fs smith fs 180,,,ledge,,shootout,,,baker has a deathwish,
20,19,switch crook,1,,ledge,,shootout,,,baker has a deathwish,
21,20,nollie bs flip,1,1,stair,,,,,baker has a deathwish,
21,21,switch flip,1,1,stair,,,,,baker has a deathwish,
22,22,ollie,,,stair,,,,,baker has a deathwish,
23,23,indy,,,bank,,nipple,,,baker has a deathwish,
24,24,switch fs lipslide,1,,rail,,handrail,,,baker has a deathwish,
25,25,fs noseblunt,,,rail,,handrail,,,baker has a deathwish,
26,26,fs blunt,,,hubba,,,,,baker has a deathwish,
27,27,switch tre boardslide,1,,rail,,"handrail, manmade",,,baker has a deathwish,
28,28,melon grab,,,gap,,roof,,,baker has a deathwish,
29,29,switch flip,1,,gap,,,,,baker has a deathwish,
30,30,switch fs 180,1,,gap,,,,,baker has a deathwish,
31,30,switch fs 180,1,,gap,,,,,baker has a deathwish,
32,31,ollie,,,gap,,over rail,,,baker has a deathwish,
33,32,switchflip bluntslide,1,,rail,,"handrail, manmade",,,baker has a deathwish,
34,33,nollie bs flip,1,,stair,,double set,,,baker has a deathwish,
35,34,bs 360 lipslide,,,rail,1,handrail,,,baker has a deathwish,
36,35,switchflip noseslide,1,,hubba,,,,,baker has a deathwish,
37,36,switch flip,1,,gap,1,,carlsbad,,baker has a deathwish,
38,37,,,,,,,,,baker has a deathwish,
1,1,360 flip,,1,flat,,,,,the deathwish video,
1,2,ollie to manual,,1,gap,,curbcut,,1,the deathwish video,
2,3,ollie,,,flat,,flat over rail,,,the deathwish video,
3,4,bs noseblunt,,,ledge,,car,,1,the deathwish video,
4,5,darkslide to fakie,,,ledge,,bank to ledge,,1,the deathwish video,
5,6,big heel darkslide,,,ledge,,,,,the deathwish video,
6,7,switchflip bs 5-0,1,,ledge,,shootout,,,the deathwish video,
7,8,hardflip,,,flat,,flatgap,,,the deathwish video,
8,9,bs 5050 to bs tail,,,ledge,,,,,the deathwish video,
9,10,bs nosepick,,,bank to ledge,,,,1,the deathwish video,
10,11,fs nosepick,,,bank to ledge,,,,1,the deathwish video,
11,11,fs nosepick,,,bank to ledge,,,,1,the deathwish video,
12,12,rock fakie,,,bank to wall,,manmade,,1,the deathwish video,
13,13,nollie bs flip,1,,gap,1,,carlsbad,,the deathwish video,
14,13,nollie bs flip,1,,gap,,,carlsbad,,the deathwish video,
15,14,switch flip,1,,stair,,,,,the deathwish video,
16,15,switch fs flip,1,,stair,,,,,the deathwish video,
17,16,ollie,,,stair,,,,,the deathwish video,
18,16,ollie ,,,stair,,,,,the deathwish video,
19,17,bs 360,,,stair,,,,,the deathwish video,
20,18,ollie,,,bank over car,,car,,1,the deathwish video,
21,18,ollie,,,bank over car,,car,,1,the deathwish video,
22,19,footplant,,,bank over wall,,,,1,the deathwish video,
23,19,footplant,,,bank over wall,,,,1,the deathwish video,
24,20,bs 180,,1,flat,,,,,the deathwish video,
24,21,fakie tre,,1,flat,,over hydrant,,,the deathwish video,
25,22,bs 360 tailslide kickflip,,,ledge,,bank to ledge,,1,the deathwish video,
26,23,switch tre lipslide,1,,rail,,handrail,,,the deathwish video,
27,23,switch tre lipslide,1,,rail,1,handrail,,,the deathwish video,
28,24,bs 360 lipslide,,,rail,,handrail,,,the deathwish video,
29,24,bs 360 lipslide,,,rail,,handrail,,,the deathwish video,
30,25,switch flip boardslide,1,,rail,,handrail,wilshire,,the deathwish video,
31,25,switch flip boardslide,1,,rail,,handrail,whilshire,,the deathwish video,
32,26,ollie,,,gap,,ollie into bank,,1,the deathwish video,
33,26,ollie,,,gap,,ollie into bank,,1,the deathwish video,
34,27,fakie big heel,,,stair,,,,,the deathwish video,
35,27,fakie big heel,,,stair,,,,,the deathwish video,
36,28,bs 5-0,,,rail,1,handrail,,,the deathwish video,
37,28,bs 5-0,,,rail,,handrail,,,the deathwish video,
38,29,impossible noseslide fakie,,,ledge,,bank to ledge,,1,the deathwish video,
39,30,bs 360 5050,,,ledge,1,bank to ledge,,1,the deathwish video,
40,31,switch tre darkslide,1,,ledge,,,,,the deathwish video,
41,32,360 flip darkslide ,,,ledge,,bank to ledge,,1,the deathwish video,
42,33,nollie bs flip fakie 5-0,1,,ledge,,bank to ledge,,1,the deathwish video,
43,34,alley-oop bs 180 nosegrind,,,ledge,1,bank to ledge,,1,the deathwish video,
44,35,bs 360 tailslide  ,,,hubba,,,,,the deathwish video,
45,36,bs 5-0,,,rail,,gap to rail,,,the deathwish video,
46,37,boardslide,,,rail,,gap to rail,,,the deathwish video,
47,38,fakie tre,,,gap,,,,,the deathwish video,
48,39,nollie tre,1,,stair,,,,,the deathwish video,
49,40,switch tre,1,,stair,,,,,the deathwish video,
50,40,switch tre,1,,stair,,,,,the deathwish video,
51,41,heelflip,,,gap,,roof,,,the deathwish video,
52,42,switch flip,,,gap,,roof,,,the deathwish video,
53,43,switch fs flip,,,gap,,roof,,,the deathwish video,
54,44,varial heelflip,,,gap,,roof,,,the deathwish video,
55,45,bs 360,,,gap,,roof,,,the deathwish video,
56,45,bs 360,,,gap,,roof,,,the deathwish video,
57,46,nollie bs flip,,,stair,1,,,,the deathwish video,
58,47,bs 180 nosegrind revert,,,rail,1,handrail,manmade,,the deathwish video,
59,48,fs 5050,,,rail,,rail to bank,kicker,1,the deathwish video,
60,49,switch flip bluntslide,,,rail,1,handrail,,,the deathwish video,
61,50,bs 360 noseblunt,,,rail,1,handrail,,,the deathwish video,
62,51,switch darkslide,1,,rail,1,handrail,manmade,,the deathwish video,
63,51,switch darkslide,1,,rail,1,handrail,manmade,,the deathwish video,
1,1,ollie,,,curbcut,1,,,1,the way out,
2,1,ollie,,,,1,,,1,the way out,
3,2,fakie tre,,,flat,,picnic table,,,the way out,
4,2,fakie tre,,,flat,,picnic table,,,the way out,
5,2,fakie tre,,,flat,1,picnic table,,,the way out,
6,2,fakie tre,,,flat,1,picnic table,,,the way out,
7,3,ollie,,1,curbcut,,over,,1,the way out,
7,4,bs 360,,1,flat,,,,,the way out,
8,4,bs  360,,,flat,,,,,the way out,
9,5,bs 360,,1,curbcut,,curbcut,,1,the way out,
9,6,bs 180,,1,flat,,,,,the way out,
10,7,impossible  ,,,curbcut,1,over,,1,the way out,
11,7,impossible,,,curbcut,1,over,,1,the way out,
12,8,360 flip,,,flat,,,,,the way out,
13,9,360 flip,,,flat,,,,,the way out,
14,10,fakie tre manual,,,manual,1,,,,the way out,
15,11,bs 360 5050,,,bank to ledge,1,,,1,the way out,
16,12,fs 5050,,,bank to ledge,1,,,1,the way out,
17,12,fs 5050,,,bank to ledge,,,,1,the way out,
18,13,fs wallride,,,bank to car,1,car,,1,the way out,
19,14,bs lip,,,bank to cart,,cart,,1,the way out,
20,14,bs lip,,,bank to cart,,cart,,1,the way out,
21,15,bs tailslide,,,ledge,,,,,the way out,
22,16,360 flip,,,curbcut,,curb over obstacle,,1,the way out,
23,17,bs 360,,,curbcut,,curb over obstacle,,1,the way out,
24,18,bs 360 kickflip,,,curbcut,,,,1,the way out,
25,19,fastplant,,,curbcut,,curb to bus-stop,,1,the way out,
26,20,impossible wallride,,,wall,,flat to wall,,1,the way out,
27,21,fs wallride,,,wall,,quarterpipe,,1,the way out,
28,22,fakie nosegrind 180,,,picnic table,,bank,,1,the way out,
29,23,fs noseblunt,,,bank to ledge,,,,1,the way out,
30,24,bs 5-0,,1,curb ,,,,,the way out,
30,25,darkslide to fakie,,1,ledge,,flat,,,the way out,
31,26,switch darkslide,,,ledge,,roof,,,the way out,
32,26,switch darkslide,,,ledge,1,roof,,,the way out,
33,26,switch darkslide,,,ledge,,roof,,,the way out,
34,27,360 flip,,,flatgap,,bank,,1,the way out,
35,28,bs 180,,,bank,,bank,,1,the way out,
36,29,kickflip,,,bank,,bank,,1,the way out,
37,30,fs boneless,,,bank,,bank,,1,the way out,
38,31,bs smith,,,bank to stall,,wood,,1,the way out,
39,32,fs 5-0,,,bank to stall,,wood,,1,the way out,
40,32,fs 5-0,,,bank to stall,,wood,,1,the way out,
41,33,bs smith 270,,,bank to stall,,wood,,1,the way out,
42,33,bs smith 270,,,bank to stall,,wood,,1,the way out,
43,34,bs nosepick,,,bank to stall,,wood,,1,the way out,
44,35,bs 5050,,,bank to ledge,,,,1,the way out,
45,36,fs smith,,,bank to ledge,,,,1,the way out,
46,37,bs tail,,,bank to ledge,,ditch,,1,the way out,
47,37,bs tail,,,bank to ledge,,ditch,,1,the way out,
48,38,fs tail,,,bank to ledge,,ditch,,1,the way out,
49,39,bs 180,,,bank,,bank,,1,the way out,
50,40,bs 360 lipslide,,,bank to ledge,,,,1,the way out,
51,40,bs 360 lipslide,,,bank to ledge,1,bank,,1,the way out,
52,41,ollie,,,bank,,bank,,1,the way out,
53,42,bs flip,,1,curb,,,,,the way out,
53,42,fakie nosegrind 180,,1,ledge,,curb,,,the way out,
54,43,nose manual,,1,manual,,,,,the way out,
55,44,bs 180 5050,,1,ledge,,curb,,,the way out,
56,45,fs 5050,,,ledge,,curb,,,the way out,
57,46,fs boardslide revert,,,quarterpipe,,brick,,1,the way out,
58,47,bs noseblunt,,,quarterpipe,,brick,,1,the way out,
59,47,bs noseblunt,,,quarterpipe,,brick,,1,the way out,
60,48,fastplant,,,ledge to bank,1,bridge,,1,the way out,
61,48,fastplant,,,ledge to bank,1,bridge,,1,the way out,
62,49,nollie bs flip,,,gap,1,,,,the way out,
63,50,bs 360 lipslide,,,rail,1,roof,,,the way out,
64,50,bs 360 lipslide,,,rail,1,roof,,,the way out,
1,1,ollie,,,flat,,,,1,year 13,
2,2,360 flip,,,bank,,bank,,1,year 13,
2,3,bs 180,,,flat,,,,,year 13,
3,4,kickflip,,,quarterpipe,1,brick,,1,year 13,
4,4,kickflip,,,quarterpipe,,brick,,1,year 13,
5,5,bs flip,,,bank,,,,1,year 13,
6,6,fs boardslide  ,,,bank to ledge,,curbcut,,1,year 13,
6,7,bs noseslide,,1,ledge,,,,,year 13,
7,8,bs boardslide,,1,bank to ledge,,curbcut,,1,year 13,
7,9,bs boardslide,,1,ledge,,,,,year 13,
8,10,fs lipslide,,,bank to ledge,1,curbcut,,1,year 13,
9,10,fs lipslide,,,bank to ledge,,curbcut,,1,year 13,
10,11,bs indy,,,bank over ,1,curbcut,,1,year 13,
11,12,heelflip,,,bank over,1,curbcut,,1,year 13,
12,12,heelflip,,,bank over,1,curbcut,,1,year 13,
13,13,bs 360 lipslide,,,bank to ledge,1,"curbcut, fall",,1,year 13,
14,13,bs 360 lipslide,,,bank to ledge,1,"curbcut, fall",,1,year 13,
15,14,wallie,,,quarterpipe,,brick,,1,year 13,
15,15,bs 270 tailslide,,,ledge,,brick,,1,year 13,
16,15,bs 270 tailslide,,,ledge,,brick,,1,year 13,
17,16,bs ollie,,,quarterpipe,,brick,,1,year 13,
17,17,pivot fakie,,,quarterpipe,,brick,,1,year 13,
18,18,kickflip bs disaster,,,quarterpipe,,brick,,1,year 13,
19,18,kickflip bs disaster,,,quarterpipe,1,brick,,1,year 13,
20,19,bs ollie,,,quarterpipe,1,brick,,1,year 13,
21,20,bs 360,,,flat,1,,,1,year 13,
22,21,bs bluntside,,,quarterpipe,,brick,,1,year 13,
23,22,kickflip,,,bank,,bank,,1,year 13,
24,23,ollie,,,bank over,,curbcut,,1,year 13,
25,24,kickflip,,,bank ,,bank,,1,year 13,
26,25,ollie,,,bank,,bank,,1,year 13,
27,26,kickflip,,,bank,,bank,,1,year 13,
28,27,bs 180,,1,flat,,flat,,,year 13,
28,28,fakie tre flip,,1,flat,,trashcan,,,year 13,
28,29,ollie,,1,bank,,bank,,1,year 13,
28,30,bs 360,,1,flat,,,,,year 13,
29,31,ollie,,1,curbcut,,,,1,year 13,
29,32,bs boardslide,,1,ledge,,,,,year 13,
29,33,bs 360,,1,curbcut,,,,1,year 13,
30,34,switch wallride,1,,wall,,,,1,year 13,
31,35,bs feeble fakie,,,curb,,slappy,,,year 13,
32,36,bs 5050,,,curb,,slappy,,,year 13,
33,37,fs hurricane,,,curb,,slappy,,,year 13,
34,38,fakie 5050 halfcab,,,curb,,,,,year 13,
35,39,fakie 5050 halfcab,,,curb,,,,,year 13,
36,40,bs 5050,,,curb,,slappy,,,year 13,
37,41,bs 360,,,flat,,,,,year 13,
38,42,bs 180,,1,flat,,,,,year 13,
38,43,switch bs 5050,,1,curb,,slappy,,,year 13,
39,44,bs 5050,,1,curb,,slappy,,,year 13,
39,45,bs feeble  ,,1,curb,,slappy,,,year 13,
40,46,bs 180,,1,flat,,,,,year 13,
40,47,switch bs 5050,,1,curb,,slappy,,,year 13,
41,48,bs feeble,,,curb,,slappy,,,year 13,
42,49,bs 180 switch 5050 lipslide,,,curb,,,,,year 13,
43,50,bs hurricane,,,curb,,,,,year 13,
44,51,fs hurricane to fs boardslide,,,curb,,,,,year 13,
45,52,bs 360 boardslide,,,curb,,,,,year 13,
46,53,bs feeble to boardslide to fakie,,,curb,,slappy,,,year 13,
47,54,bs boardslide to fakie,,,curb,,slappy,,,year 13,
48,55,rock'n'roll,,,bank to ledge,,,,1,year 13,
49,56,bs 360,,,flat,,curbcut,,1,year 13,
50,57,halfcab,,1,flat,,,,,year 13,
50,58,bs flip,,1,car,,,,1,year 13,
51,59,ollie,,1,flat,,curbcut,,1,year 13,
51,60,bs boardslide,,1,ledge,,,,,year 13,
51,61,bs 180,,1,flat,,curb,,,year 13,
52,62,kickflip bs tail,,,quarterpipe,1,brick,,1,year 13,
53,62,kickflip bs tail,,,quarterpipe,,brick,,1,year 13,
1,1,bs lipslide,,,car,,"car, kicker",,1,Jobs? Never!!,
2,2,ollie,,,bank,1,pyramid,,1,Jobs? Never!!,
3,3,360 flip,,,bank,1,pyramid,,1,Jobs? Never!!,
4,4,bs lipslide,,,ledge,,,,,Jobs? Never!!,
5,5,ollie,,,flat,,over planter,,,Jobs? Never!!,
6,6,bs 180,,1,flat,,,,,Jobs? Never!!,
6,7,fakie switch 5-0,,1,ledge,,curb,,,Jobs? Never!!,
7,8,bs 360,,,flat,,onto stairs,,,Jobs? Never!!,
8,9,ollie,,,flat,,over train tracks,,,Jobs? Never!!,
9,10,360 flip,,,flat,,,,,Jobs? Never!!,
10,11,nosebonk,,,ledge,,,,,Jobs? Never!!,
11,12,bs 360,,,bank,1,bank,,1,Jobs? Never!!,
13,12,bs 360,,,bank,1,bank,,1,Jobs? Never!!,
14,13,360 flip,,,flat,,house,,,Jobs? Never!!,
15,14,wallride,,,wall,,kicker,,1,Jobs? Never!!,
16,14,wallride,,,wall,,kicker,,1,Jobs? Never!!,
17,15,melon grab,,,kicker,,kicker,,1,Jobs? Never!!,
18,16,bs nosepick,,,kicker,1,refrigerator,,1,Jobs? Never!!,
19,16,bs nosepick,,,kicker,1,refrigerator,,1,Jobs? Never!!,
20,17,nose manual,,1,manual,,,,,Jobs? Never!!,
20,18,fs noseblunt,,1,ledge,,,,,Jobs? Never!!,
20,19,bs 180,,1,stair,,,,,Jobs? Never!!,
21,20,bs 5050 bs 180,,,ledge,,,,,Jobs? Never!!,
22,21,bs flip,,,bank,1,alley-oop,,1,Jobs? Never!!,
23,21,bs flip,,,bank,,alley-oop,,1,Jobs? Never!!,
24,22, alley-oop bs 180 5050,,,ledge,,alley-oop,,,Jobs? Never!!,
25,23,bs indy,,,quarterpipe,,brick,,1,Jobs? Never!!,
26,24,kickflip bs pivot,,,quarterpipe,,brick,,1,Jobs? Never!!,
27,25,body jar,,,quarterpipe,,brick,,1,Jobs? Never!!,
28,26,kickflip bs tail,,,quarterpipe,,diy,,1,Jobs? Never!!,
29,27,bs 360,,,bank,1,curbcut,,1,Jobs? Never!!,
30,28,ollie,,1,flat,,car,,,Jobs? Never!!,
30,29,ollie,,1,flat,,1,,,Jobs? Never!!,
31,30,bs 180,,,flat,,,,,Jobs? Never!!,
31,31,switch bs 5050,,1,ledge,,slappy,,,Jobs? Never!!,
32,32,bs 360 lipslide,,,bank to ledge,,bank,,1,Jobs? Never!!,
33,33,fastplant,,,ledge,,bank,,1,Jobs? Never!!,
34,34,fs noseblunt,,,bank,,car,,1,Jobs? Never!!,
35,34,fs noseblunt,,,bank,1,car,,1,Jobs? Never!!,
1,1,fs lipslide,,,ledge,,gap to ledge,,,411 Wheels of Fortune,
2,2,fs 180  ,,1,flat,,,,,411 Wheels of Fortune,
2,3,switch bs5050,,1,curb,,slappy,,,411 Wheels of Fortune,
3,4,bs 5050,,,curb,,slappy,,,411 Wheels of Fortune,
